"file"	"channel"	"row"	"col"	"time"	"well"	"plate"	"magnification"	"instrument"	"cell.Type.1"	"cell.Count.1"	"cell.Condition.1"	"cell.Type.2"	"cell.Count.2"
"210721 - TFlib reseed movie_C4_1_01d00h24m.tif"	"phase"	"C"	4	"01d00h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h24m.tif"	"red"	"C"	4	"01d00h24m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h28m.tif"	"red"	"C"	4	"01d00h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h28m.tif"	"phase"	"C"	4	"01d00h28m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h32m.tif"	"phase"	"C"	4	"01d00h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h32m.tif"	"red"	"C"	4	"01d00h32m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h36m.tif"	"phase"	"C"	4	"01d00h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h36m.tif"	"red"	"C"	4	"01d00h36m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h40m.tif"	"red"	"C"	4	"01d00h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h40m.tif"	"phase"	"C"	4	"01d00h40m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h44m.tif"	"phase"	"C"	4	"01d00h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
"210721 - TFlib reseed movie_C4_1_01d00h44m.tif"	"red"	"C"	4	"01d00h44m"	"C4"	"96 well"	"4X"	"Incucyte"	"Bulk T Cell, Donor 2"	1500	"RASA2 KO - reseed"	"A375"	1500
